pH,Temprature,Taste,Odor,Fat ,Turbidity,Colour,quality
6.8,41.0,0.0,0.0,1.0,0.0,255.0,medium
6.5,38.0,1.0,1.0,1.0,1.0,255.0,high
6.6,38.0,0.0,0.0,0.0,0.0,255.0,medium
3.0,40.0,1.0,0.0,0.0,0.0,255.0,low
9.0,43.0,1.0,1.0,1.0,1.0,248.0,low
6.8,40.0,1.0,1.0,1.0,1.0,255.0,high
6.6,50.0,0.0,0.0,0.0,1.0,250.0,LOW
6.5,36.0,0.0,0.0,0.0,,247.0,medium
6.6,50.0,0.0,0.0,0.0,0.0,255.0,low
,45.0,1.0,1.0,1.0,,245.0,high
9.5,34.0,1.0,1.0,0.0,1.0,255.0,low
6.5,37.0,0.0,0.0,0.0,0.0,255.0,medium
9.5,34.0,1.0,1.0,0.0,1.0,255.0,low
6.5,37.0,0.0,0.0,,0.0,255.0,medium
6.6,37.0,1.0,,1.0,1.0,255.0,high
5.5,45.0,,0.0,1.0,1.0,250.0,low_
4.5,60.0,0.0,1.0,1.0,1.0,250.0,
8.1,66.0,1.0,0.0,1.0,1.0,255.0,low
6.7,45.0,1.0,1.0,0.0,0.0,247.0,medium
6.7,45.0,1.0,1.0,1.0,0.0,245.0,medium
5.6,50.0,,1.0,1.0,1.0,255.0,low
6.6,35.0,0.0,1.0,,1.0,255.0,high
7.4,90.0,1.0,0.0,1.0,1.0,,low
,50.0,,,1.0,0.0,255.0,low
6.5,38.0,1.0,0.0,1.0,0.0,255.0,medium
6.7,38.0,1.0,0.0,1.0,0.0,255.0,high
3.0,40.0,1.0,1.0,1.0,1.0,255.0,LOW
6.6,43.0,1.0,0.0,1.0,1.0,250.0,high
8.6,,0.0,1.0,1.0,1.0,255.0,low
6.8,45.0,0.0,0.0,0.0,1.0,255.0,medium
6.8,45.0,0.0,1.0,1.0,1.0,255.0,high
6.5,38.0,,0.0,0.0,0.0,255.0,medium
6.6,38.0,1.0,0.0,1.0,0.0,255.0,high
3.0,40.0,1.0,1.0,1.0,1.0,,
9.0,43.0,1.0,0.0,1.0,,250.0,low
,40.0,1.0,0.0,1.0,0.0,245.0,medium
6.6,45.0,0.0,0.0,0.0,1.0,250.0,MEDIUM
,36.0,,0.0,1.0,0.0,255.0,
6.6,38.0,0.0,0.0,1.0,0.0,255.0,medium
6.8,45.0,,1.0,1.0,1.0,245.0,high
6.5,55.0,1.0,0.0,1.0,0.0,246.0,low
6.8,36.0,0.0,1.0,1.0,0.0,253.0,high
8.5,70.0,0.0,0.0,0.0,0.0,246.0,low
6.8,40.0,1.0,0.0,1.0,0.0,245.0,medium
6.6,45.0,0.0,1.0,1.0,1.0,250.0,high
6.5,36.0,0.0,0.0,1.0,0.0,255.0,medium
4.5,38.0,0.0,1.0,1.0,1.0,255.0,
6.8,45.0,1.0,1.0,1.0,1.0,245.0,high
6.5,35.0,1.0,0.0,1.0,0.0,246.0,medium_
6.8,36.0,0.0,1.0,1.0,0.0,253.0,high
8.5,70.0,0.0,0.0,0.0,0.0,246.0,low
6.8,34.0,0.0,0.0,0.0,,240.0,medium
6.5,37.0,0.0,0.0,0.0,,,medium
,37.0,1.0,0.0,1.0,0.0,255.0,high
6.8,45.0,0.0,1.0,0.0,0.0,240.0,medium
7.4,65.0,0.0,0.0,,0.0,255.0,low
6.8,41.0,0.0,0.0,1.0,,255.0,MEDIUM
6.5,38.0,1.0,1.0,1.0,1.0,255.0,high
6.6,38.0,0.0,0.0,0.0,0.0,255.0,medium
3.0,40.0,1.0,0.0,0.0,0.0,255.0,low
9.0,43.0,1.0,1.0,1.0,1.0,248.0,low
6.8,40.0,1.0,1.0,1.0,1.0,255.0,high
6.6,50.0,0.0,0.0,0.0,1.0,250.0,
6.5,36.0,0.0,,0.0,0.0,247.0,medium
6.6,50.0,0.0,0.0,0.0,0.0,255.0,low
6.8,45.0,1.0,1.0,1.0,0.0,245.0,high
9.5,34.0,1.0,1.0,0.0,1.0,,LOW
6.5,,0.0,0.0,0.0,0.0,255.0,medium
9.5,34.0,1.0,1.0,0.0,1.0,255.0,low
6.5,37.0,,0.0,0.0,0.0,255.0,medium
6.6,37.0,1.0,1.0,1.0,1.0,255.0,
5.5,45.0,1.0,0.0,1.0,1.0,250.0,low
4.5,60.0,0.0,1.0,1.0,1.0,250.0,low
8.1,66.0,,0.0,1.0,1.0,255.0,low
6.7,45.0,1.0,1.0,0.0,0.0,247.0,medium
6.7,45.0,1.0,1.0,1.0,0.0,245.0,medium
5.6,50.0,0.0,1.0,1.0,1.0,255.0,
6.6,35.0,,1.0,1.0,1.0,255.0,high
7.4,90.0,1.0,0.0,1.0,1.0,,low
6.8,50.0,0.0,0.0,1.0,0.0,255.0,low
6.5,38.0,1.0,0.0,1.0,0.0,255.0,medium
6.7,41.0,1.0,0.0,0.0,0.0,247.0,medium_
6.7,50.0,1.0,1.0,1.0,0.0,245.0,low
6.8,45.0,0.0,1.0,1.0,1.0,255.0,high
8.6,55.0,0.0,1.0,0.0,0.0,255.0,low
7.4,65.0,0.0,0.0,0.0,,255.0,low
6.8,41.0,0.0,0.0,0.0,0.0,255.0,MEDIUM
6.5,38.0,1.0,1.0,1.0,1.0,255.0,high
6.8,38.0,0.0,0.0,0.0,0.0,255.0,medium
3.0,40.0,1.0,0.0,0.0,0.0,255.0,low
9.0,43.0,1.0,1.0,1.0,1.0,,low
6.8,40.0,,1.0,1.0,1.0,255.0,
6.6,45.0,,0.0,0.0,1.0,,medium
6.5,36.0,0.0,0.0,0.0,0.0,247.0,medium
6.6,38.0,0.0,0.0,0.0,0.0,,medium
6.8,45.0,1.0,1.0,1.0,0.0,245.0,high
9.5,34.0,,1.0,,1.0,255.0,LOW
6.5,37.0,0.0,0.0,0.0,0.0,255.0,medium
6.6,37.0,1.0,1.0,1.0,1.0,255.0,high
5.5,45.0,1.0,0.0,1.0,,250.0,low
4.5,60.0,0.0,1.0,,1.0,250.0,low
8.1,66.0,1.0,0.0,1.0,1.0,255.0,low
,45.0,1.0,1.0,0.0,0.0,247.0,medium
6.7,45.0,,1.0,1.0,0.0,245.0,medium
,50.0,0.0,1.0,1.0,1.0,255.0,low
8.6,55.0,0.0,1.0,1.0,1.0,255.0,low
7.4,90.0,1.0,0.0,1.0,1.0,255.0,LOW
6.8,45.0,0.0,0.0,1.0,0.0,,medium
6.5,38.0,1.0,0.0,1.0,0.0,255.0,medium
6.7,38.0,1.0,,1.0,0.0,255.0,high
3.0,40.0,1.0,1.0,1.0,1.0,255.0,low
9.0,43.0,,0.0,1.0,,250.0,low
8.6,55.0,0.0,1.0,1.0,,,low
,45.0,0.0,0.0,0.0,1.0,255.0,medium
6.8,45.0,,1.0,1.0,,255.0,high_
6.5,38.0,1.0,0.0,0.0,0.0,255.0,medium
4.7,38.0,1.0,0.0,1.0,0.0,255.0,LOW
3.0,40.0,1.0,1.0,1.0,1.0,255.0,
9.0,43.0,1.0,0.0,1.0,1.0,250.0,low
6.8,40.0,1.0,0.0,1.0,0.0,245.0,medium
6.5,37.0,,0.0,0.0,0.0,255.0,medium
6.6,37.0,1.0,1.0,1.0,1.0,255.0,high
5.5,45.0,1.0,0.0,1.0,1.0,250.0,low
4.5,60.0,0.0,1.0,1.0,1.0,250.0,low
8.1,66.0,,0.0,1.0,1.0,255.0,low
6.7,45.0,1.0,1.0,0.0,0.0,247.0,medium
6.7,45.0,1.0,1.0,1.0,0.0,245.0,MEDIUM
5.6,50.0,0.0,1.0,1.0,1.0,255.0,low
,55.0,0.0,1.0,1.0,1.0,255.0,low
7.4,90.0,1.0,0.0,1.0,1.0,255.0,low
6.8,45.0,0.0,0.0,1.0,0.0,255.0,medium
6.5,38.0,1.0,0.0,1.0,0.0,255.0,medium
6.7,38.0,1.0,0.0,1.0,0.0,255.0,high
3.0,40.0,1.0,1.0,1.0,1.0,255.0,low
9.0,43.0,1.0,0.0,,1.0,250.0,low
,55.0,0.0,1.0,1.0,1.0,255.0,low
6.8,45.0,0.0,0.0,0.0,1.0,255.0,
6.8,45.0,0.0,,1.0,1.0,255.0,high
6.5,38.0,1.0,0.0,0.0,0.0,255.0,medium
4.7,38.0,1.0,0.0,1.0,0.0,255.0,low
3.0,40.0,1.0,1.0,1.0,1.0,255.0,low
9.0,43.0,1.0,0.0,,,250.0,low
6.8,40.0,1.0,0.0,1.0,0.0,245.0,medium
,45.0,0.0,1.0,1.0,1.0,250.0,high
6.5,36.0,0.0,0.0,1.0,0.0,255.0,medium
4.5,38.0,0.0,1.0,1.0,,255.0,low
6.8,,1.0,1.0,1.0,1.0,245.0,HIGH
6.5,35.0,,0.0,1.0,0.0,246.0,medium_
6.8,36.0,0.0,1.0,1.0,0.0,253.0,high
8.5,70.0,0.0,0.0,,0.0,246.0,low
6.8,34.0,0.0,0.0,0.0,1.0,240.0,medium
6.5,37.0,0.0,0.0,0.0,0.0,245.0,
6.6,37.0,1.0,0.0,1.0,0.0,,
6.8,45.0,,1.0,0.0,0.0,240.0,medium
7.4,65.0,0.0,0.0,0.0,0.0,255.0,low
6.8,41.0,0.0,0.0,1.0,0.0,255.0,medium
6.5,38.0,1.0,1.0,1.0,1.0,255.0,HIGH
6.6,38.0,0.0,0.0,0.0,0.0,255.0,medium
3.0,40.0,1.0,0.0,0.0,0.0,,low
9.0,43.0,1.0,1.0,1.0,,248.0,low
6.5,38.0,1.0,0.0,1.0,0.0,255.0,medium
6.7,38.0,1.0,0.0,1.0,0.0,255.0,high
3.0,40.0,1.0,1.0,1.0,1.0,255.0,low
6.6,43.0,1.0,0.0,1.0,1.0,250.0,high
8.6,55.0,0.0,1.0,1.0,1.0,,
6.8,45.0,,0.0,0.0,1.0,255.0,medium
6.8,45.0,0.0,1.0,1.0,1.0,255.0,HIGH
6.5,38.0,1.0,0.0,0.0,0.0,255.0,medium
6.6,38.0,1.0,0.0,1.0,0.0,255.0,high
3.0,40.0,1.0,1.0,1.0,1.0,255.0,low
9.0,43.0,1.0,0.0,1.0,1.0,,low
6.8,40.0,1.0,0.0,1.0,0.0,245.0,medium
6.6,45.0,0.0,0.0,0.0,1.0,250.0,medium
6.5,36.0,0.0,0.0,1.0,0.0,255.0,medium
6.6,38.0,0.0,0.0,1.0,0.0,255.0,medium
6.8,45.0,1.0,1.0,1.0,1.0,245.0,high
6.5,55.0,1.0,0.0,1.0,0.0,246.0,LOW
6.8,36.0,0.0,1.0,1.0,0.0,,high
8.5,,0.0,0.0,0.0,0.0,246.0,low
6.8,40.0,1.0,0.0,1.0,0.0,245.0,medium
6.6,45.0,0.0,1.0,1.0,,250.0,high_
6.5,36.0,0.0,0.0,1.0,0.0,255.0,medium
4.5,38.0,0.0,1.0,1.0,1.0,255.0,low
6.8,45.0,,1.0,1.0,1.0,245.0,high
6.5,35.0,1.0,,1.0,0.0,246.0,medium
6.8,36.0,0.0,1.0,1.0,0.0,253.0,high
8.5,70.0,0.0,0.0,0.0,0.0,246.0,LOW
6.8,34.0,0.0,0.0,0.0,1.0,240.0,medium
9.0,43.0,1.0,1.0,1.0,1.0,248.0,low
6.8,40.0,1.0,1.0,1.0,1.0,255.0,high
6.6,50.0,0.0,0.0,0.0,,250.0,low
6.5,36.0,0.0,0.0,0.0,0.0,247.0,medium
6.6,50.0,0.0,0.0,0.0,0.0,255.0,low
6.8,45.0,1.0,1.0,1.0,0.0,245.0,high
9.5,34.0,1.0,1.0,0.0,1.0,255.0,low
6.5,37.0,0.0,0.0,0.0,0.0,255.0,medium
9.5,34.0,,1.0,0.0,1.0,255.0,LOW
6.5,37.0,0.0,0.0,0.0,0.0,255.0,medium
6.6,37.0,1.0,1.0,1.0,1.0,,
5.5,45.0,1.0,0.0,1.0,1.0,250.0,low
4.5,60.0,0.0,1.0,1.0,1.0,250.0,low
8.1,66.0,1.0,0.0,1.0,1.0,255.0,low
6.7,45.0,1.0,1.0,0.0,0.0,,medium
6.7,45.0,,1.0,1.0,0.0,245.0,medium
5.6,50.0,0.0,1.0,1.0,1.0,255.0,low
6.6,,0.0,1.0,1.0,1.0,255.0,high
7.4,90.0,1.0,0.0,1.0,1.0,255.0,LOW
6.8,50.0,0.0,0.0,1.0,0.0,255.0,low
6.5,38.0,1.0,0.0,1.0,0.0,255.0,medium
,41.0,1.0,0.0,,0.0,247.0,medium
6.7,50.0,1.0,1.0,1.0,0.0,245.0,low
6.8,45.0,0.0,1.0,1.0,1.0,255.0,high
8.6,55.0,,,0.0,0.0,255.0,low
7.4,65.0,0.0,0.0,0.0,0.0,255.0,low_
6.8,41.0,0.0,0.0,0.0,0.0,255.0,
6.5,38.0,1.0,1.0,1.0,1.0,255.0,high
6.8,38.0,0.0,0.0,0.0,0.0,255.0,MEDIUM
3.0,40.0,1.0,0.0,0.0,0.0,255.0,low
9.0,43.0,1.0,1.0,1.0,1.0,248.0,
6.8,40.0,1.0,1.0,,1.0,255.0,high
6.6,45.0,0.0,0.0,0.0,1.0,250.0,medium
6.5,36.0,0.0,0.0,0.0,0.0,247.0,medium
6.6,38.0,0.0,0.0,0.0,0.0,255.0,medium
6.8,45.0,1.0,1.0,1.0,0.0,245.0,high
9.5,34.0,1.0,1.0,0.0,1.0,255.0,low
6.5,37.0,0.0,,0.0,0.0,255.0,medium
6.6,,1.0,1.0,1.0,1.0,,HIGH
,,1.0,,1.0,1.0,,low
4.5,60.0,0.0,1.0,1.0,1.0,250.0,low
8.1,66.0,1.0,0.0,1.0,1.0,255.0,low
6.7,45.0,1.0,1.0,0.0,0.0,247.0,medium
6.7,45.0,1.0,1.0,1.0,0.0,245.0,medium
5.6,50.0,0.0,1.0,1.0,1.0,255.0,low
8.6,55.0,0.0,,,1.0,255.0,low
7.4,90.0,1.0,0.0,1.0,1.0,255.0,low
6.8,45.0,0.0,0.0,1.0,0.0,255.0,medium
6.5,38.0,1.0,0.0,1.0,0.0,255.0,MEDIUM
6.7,38.0,1.0,0.0,1.0,,255.0,high
3.0,40.0,1.0,1.0,1.0,1.0,255.0,low
9.0,43.0,1.0,0.0,1.0,1.0,250.0,low
8.6,55.0,0.0,1.0,1.0,1.0,255.0,low
6.8,45.0,0.0,0.0,0.0,1.0,255.0,medium
6.8,45.0,0.0,1.0,1.0,1.0,255.0,high
6.5,38.0,1.0,0.0,0.0,0.0,255.0,medium
4.7,,1.0,0.0,1.0,0.0,255.0,low
3.0,,1.0,1.0,1.0,1.0,255.0,low
9.0,43.0,1.0,0.0,1.0,1.0,250.0,LOW_
6.8,40.0,1.0,0.0,1.0,0.0,245.0,medium
6.5,37.0,0.0,0.0,0.0,0.0,255.0,medium
6.6,37.0,1.0,1.0,1.0,1.0,255.0,high
5.5,45.0,1.0,0.0,1.0,1.0,,low
4.5,60.0,0.0,1.0,1.0,1.0,250.0,low
8.1,66.0,1.0,0.0,1.0,1.0,255.0,low
6.7,45.0,1.0,1.0,0.0,0.0,247.0,
6.7,45.0,1.0,1.0,1.0,0.0,245.0,medium
5.6,50.0,0.0,1.0,1.0,1.0,255.0,low
8.6,55.0,0.0,1.0,,1.0,255.0,LOW
7.4,,1.0,0.0,1.0,1.0,255.0,low
6.8,45.0,,0.0,1.0,0.0,255.0,medium
6.5,38.0,1.0,0.0,1.0,0.0,255.0,medium
6.7,38.0,1.0,0.0,1.0,,255.0,high
3.0,40.0,1.0,1.0,1.0,1.0,255.0,low
9.0,43.0,1.0,0.0,1.0,1.0,250.0,low
8.6,55.0,0.0,1.0,1.0,1.0,255.0,low
6.8,45.0,0.0,0.0,0.0,1.0,255.0,medium
6.8,45.0,0.0,1.0,1.0,1.0,255.0,high
6.5,38.0,1.0,0.0,0.0,0.0,255.0,MEDIUM
4.7,38.0,1.0,0.0,1.0,0.0,255.0,low
3.0,40.0,1.0,,1.0,1.0,255.0,low
9.0,43.0,1.0,0.0,1.0,1.0,250.0,low
6.8,40.0,1.0,0.0,1.0,0.0,245.0,medium
6.6,45.0,0.0,1.0,1.0,1.0,250.0,high
6.5,36.0,0.0,0.0,1.0,0.0,255.0,medium
,38.0,0.0,1.0,1.0,1.0,255.0,low
6.8,45.0,1.0,1.0,1.0,1.0,245.0,high
6.5,35.0,1.0,0.0,1.0,0.0,246.0,
6.8,36.0,0.0,1.0,1.0,0.0,253.0,HIGH
8.5,70.0,0.0,0.0,0.0,0.0,246.0,low
6.8,34.0,0.0,0.0,,1.0,240.0,medium
6.5,37.0,0.0,0.0,0.0,0.0,245.0,medium_
6.6,37.0,1.0,0.0,1.0,0.0,255.0,
6.8,45.0,0.0,1.0,0.0,0.0,240.0,medium
7.4,65.0,0.0,0.0,0.0,,255.0,low
6.8,41.0,0.0,0.0,1.0,0.0,255.0,medium
6.5,38.0,1.0,1.0,1.0,,255.0,high
6.6,38.0,0.0,0.0,0.0,0.0,255.0,medium
3.0,40.0,1.0,0.0,0.0,0.0,255.0,LOW
9.0,43.0,1.0,1.0,1.0,1.0,248.0,low
6.5,38.0,1.0,0.0,1.0,0.0,255.0,medium
6.7,38.0,1.0,0.0,1.0,0.0,255.0,high
3.0,40.0,1.0,1.0,1.0,1.0,255.0,low
6.6,43.0,1.0,,1.0,1.0,250.0,high
8.6,55.0,0.0,1.0,1.0,1.0,255.0,low
6.8,45.0,0.0,0.0,0.0,1.0,255.0,medium
6.8,45.0,0.0,1.0,1.0,1.0,255.0,high
6.5,38.0,1.0,0.0,0.0,0.0,255.0,
6.6,38.0,,0.0,1.0,0.0,255.0,HIGH
3.0,40.0,1.0,1.0,1.0,1.0,,low
9.0,,1.0,0.0,1.0,1.0,250.0,low
6.8,40.0,1.0,0.0,,0.0,245.0,medium
6.6,45.0,0.0,0.0,0.0,1.0,250.0,medium
6.5,36.0,0.0,0.0,1.0,0.0,255.0,medium
6.8,45.0,0.0,1.0,1.0,1.0,255.0,high
6.5,38.0,1.0,0.0,0.0,0.0,255.0,medium
4.7,38.0,1.0,0.0,1.0,,255.0,low
3.0,40.0,1.0,1.0,1.0,1.0,255.0,
9.0,43.0,1.0,0.0,1.0,1.0,250.0,LOW
6.8,40.0,1.0,0.0,1.0,0.0,245.0,
6.6,45.0,0.0,1.0,1.0,1.0,250.0,high
6.5,36.0,0.0,0.0,1.0,0.0,255.0,medium
4.5,38.0,0.0,1.0,1.0,1.0,255.0,low
6.8,45.0,1.0,1.0,1.0,1.0,245.0,high
6.5,35.0,1.0,0.0,1.0,0.0,246.0,medium_
6.8,36.0,0.0,1.0,1.0,0.0,253.0,high
8.5,70.0,0.0,0.0,0.0,0.0,246.0,low
6.8,34.0,0.0,0.0,0.0,1.0,240.0,medium
6.5,37.0,0.0,,0.0,,245.0,MEDIUM
6.6,37.0,1.0,0.0,1.0,0.0,255.0,high
6.8,45.0,0.0,,0.0,0.0,240.0,medium
,65.0,,0.0,,0.0,255.0,low
6.8,41.0,0.0,0.0,,0.0,255.0,medium
6.5,38.0,1.0,1.0,1.0,1.0,255.0,high
6.6,38.0,0.0,0.0,,0.0,255.0,medium
3.0,40.0,1.0,0.0,0.0,0.0,255.0,low
9.0,43.0,1.0,1.0,1.0,1.0,248.0,low
6.8,40.0,1.0,1.0,1.0,1.0,255.0,high
6.6,50.0,0.0,0.0,0.0,1.0,250.0,LOW
6.5,36.0,,0.0,0.0,0.0,247.0,medium
6.6,50.0,0.0,0.0,0.0,,255.0,low
6.8,45.0,1.0,1.0,1.0,0.0,245.0,high
,34.0,1.0,,0.0,1.0,,low
6.5,37.0,,0.0,0.0,0.0,255.0,medium
,34.0,1.0,1.0,0.0,1.0,255.0,low
6.5,37.0,,0.0,0.0,0.0,255.0,
6.6,37.0,1.0,1.0,1.0,1.0,255.0,high
5.5,45.0,1.0,0.0,1.0,,250.0,low
,60.0,0.0,1.0,1.0,1.0,250.0,LOW
8.1,66.0,1.0,0.0,1.0,1.0,255.0,low
6.7,45.0,1.0,1.0,0.0,0.0,247.0,medium
6.7,45.0,1.0,1.0,1.0,0.0,245.0,medium
5.6,50.0,0.0,1.0,1.0,1.0,255.0,low
,35.0,0.0,1.0,1.0,1.0,255.0,high
7.4,90.0,1.0,0.0,1.0,1.0,255.0,low
6.8,50.0,0.0,0.0,1.0,0.0,255.0,low
6.5,38.0,1.0,,1.0,0.0,255.0,medium
6.7,38.0,1.0,0.0,1.0,0.0,255.0,high_
3.0,40.0,1.0,1.0,1.0,1.0,255.0,LOW
6.6,43.0,1.0,0.0,1.0,1.0,250.0,high
8.6,55.0,0.0,1.0,1.0,1.0,255.0,low
,45.0,0.0,0.0,0.0,1.0,255.0,
6.8,45.0,0.0,1.0,1.0,1.0,255.0,high
6.5,38.0,1.0,0.0,0.0,0.0,255.0,medium
6.6,38.0,,0.0,1.0,0.0,255.0,high
3.0,40.0,1.0,1.0,1.0,1.0,255.0,low
9.0,43.0,1.0,0.0,1.0,1.0,250.0,low
6.8,40.0,1.0,0.0,1.0,0.0,245.0,medium
6.6,,0.0,0.0,0.0,1.0,250.0,MEDIUM
6.5,36.0,,0.0,1.0,0.0,255.0,medium
6.6,38.0,0.0,0.0,1.0,0.0,255.0,medium
,45.0,1.0,,1.0,,245.0,high
6.5,55.0,1.0,0.0,1.0,0.0,246.0,low
6.8,,0.0,1.0,1.0,0.0,253.0,high
8.5,,0.0,0.0,0.0,0.0,,low
6.8,40.0,1.0,0.0,1.0,0.0,245.0,medium
6.6,45.0,,1.0,1.0,1.0,250.0,high
6.5,36.0,0.0,0.0,1.0,0.0,255.0,medium
4.5,38.0,0.0,1.0,1.0,1.0,255.0,LOW
6.8,,1.0,1.0,1.0,1.0,245.0,
6.5,35.0,1.0,0.0,1.0,0.0,246.0,
6.8,36.0,0.0,1.0,1.0,0.0,253.0,high
8.5,70.0,0.0,0.0,0.0,,246.0,low
6.6,50.0,0.0,0.0,,0.0,255.0,
6.8,45.0,1.0,1.0,1.0,0.0,245.0,high
9.5,34.0,1.0,1.0,,1.0,255.0,low
6.5,37.0,0.0,,0.0,0.0,255.0,medium
9.5,34.0,1.0,1.0,0.0,1.0,255.0,low
6.5,,0.0,0.0,,0.0,255.0,MEDIUM
6.6,,1.0,1.0,1.0,1.0,255.0,high
,45.0,1.0,0.0,1.0,1.0,250.0,low_
4.5,60.0,0.0,1.0,1.0,1.0,,low
8.1,66.0,1.0,0.0,1.0,,255.0,low
6.7,45.0,1.0,1.0,0.0,0.0,247.0,medium
6.7,45.0,1.0,1.0,1.0,,245.0,medium
5.6,50.0,0.0,1.0,1.0,1.0,255.0,low
6.6,,0.0,1.0,1.0,1.0,255.0,high
7.4,90.0,1.0,0.0,1.0,1.0,255.0,low
6.8,50.0,0.0,0.0,1.0,0.0,,LOW
6.5,38.0,1.0,0.0,1.0,0.0,255.0,medium
6.7,38.0,1.0,0.0,1.0,0.0,255.0,high
3.0,40.0,1.0,1.0,1.0,1.0,255.0,low
6.6,43.0,1.0,0.0,1.0,1.0,250.0,high
